18110001,0,0,0,0,0,3,0,6,3,10,0,3,3,1,3,2,10,8,0,5,10,9,5,1,8,8,8,1,1,5,0,10,3,2,0
18110002,1,1,1,0,0,4,8,3,6,4,6,1,9,3,10,9,3,1,0,5,5,6,7,2,0,0,10,8,5,3,7,10,1,9,8
18110003,0,0,1,0,1,9,6,9,1,7,5,6,2,3,0,4,0,7,10,6,0,2,5,0,6,0,3,2,6,8,9,3,5,7,6
18110004,1,0,1,0,0,3,2,7,4,8,0,8,6,7,6,7,4,2,9,6,9,3,2,0,9,4,6,10,7,8,6,6,4,5,4
18110005,0,1,1,1,0,1,4,1,8,10,7,1,10,5,1,9,8,2,7,9,8,4,4,1,4,8,3,4,2,10,5,5,6,8,6
18110006,0,0,1,0,1,3,0,2,1,4,3,10,5,0,5,4,6,5,2,3,2,3,1,6,8,10,4,8,10,4,1,8,0,7,9
18110007,0,0,0,0,0,7,1,1,7,0,6,6,2,8,10,9,6,7,9,8,5,8,7,1,6,9,10,5,9,6,5,10,0,5,8
18110008,1,1,1,1,0,4,10,3,2,0,4,1,7,8,0,2,6,4,10,3,1,10,3,6,1,7,10,6,3,4,5,8,1,1,9
18110009,0,1,1,0,1,9,8,7,10,9,8,8,2,10,4,3,8,4,9,6,7,3,2,5,2,10,6,9,8,4,8,9,2,0,4
18110010,0,1,0,1,1,1,2,1,2,10,5,10,8,5,1,9,10,0,7,8,10,2,2,3,0,9,4,2,5,5,2,7,1,4,1
18110011,1,0,1,0,0,9,9,6,9,7,6,3,5,1,6,6,10,9,0,4,5,4,1,5,2,10,6,1,10,6,4,9,0,5,9
18110012,0,1,1,1,1,5,8,6,3,5,1,8,4,6,2,7,9,10,4,0,7,1,5,9,9,1,4,5,6,3,5,1,5,6,6
18110013,1,0,0,1,0,6,1,5,10,1,7,3,9,6,8,6,4,0,4,4,7,0,1,8,2,7,10,8,7,0,1,4,8,1,5
18110014,1,0,1,1,1,4,3,8,4,2,0,3,0,10,8,8,2,9,6,6,3,10,7,3,4,2,9,3,1,3,10,3,1,5,4
18110015,0,0,1,1,0,9,0,5,1,9,3,5,7,3,4,8,2,10,5,2,2,10,6,3,8,10,6,2,8,10,10,6,8,10,7
18110016,0,1,1,0,1,1,7,10,5,4,3,0,3,1,8,9,4,1,4,9,0,7,4,9,10,3,9,6,7,6,9,8,10,4,1
18110017,0,0,1,1,0,7,3,1,7,1,0,1,6,8,7,0,1,10,1,4,10,10,2,1,6,2,10,1,0,9,9,5,7,9,4
18110018,0,0,0,0,1,9,8,0,4,6,10,0,9,2,1,7,9,6,7,8,10,7,5,9,7,8,3,6,4,8,2,10,8,8,1
18110019,1,1,0,0,1,7,10,0,9,10,4,1,3,4,10,5,6,0,2,0,7,2,10,0,7,1,0,7,1,4,10,6,0,1,8
18110020,1,0,1,1,0,10,5,6,1,9,4,7,7,2,0,7,0,7,10,0,4,8,7,2,2,7,7,7,3,0,6,2,0,7,1
18110021,0,0,0,1,1,4,3,4,10,0,6,2,0,2,4,7,0,0,7,7,8,10,0,4,7,8,9,6,7,1,9,0,4,5,9
18110022,0,0,0,1,0,1,7,2,5,9,1,6,4,6,7,2,1,3,9,9,0,9,2,8,8,8,3,1,3,7,3,4,10,3,3
18110023,0,1,1,0,0,9,2,5,4,5,5,9,7,0,2,2,2,5,6,9,1,10,3,10,4,8,7,7,3,7,1,9,10,5,4
18110024,0,1,1,1,1,9,5,10,8,0,2,6,3,5,0,8,6,10,6,7,7,4,9,8,10,8,3,8,1,10,8,8,3,7,4
18110025,1,0,1,1,1,8,3,9,7,5,4,0,5,9,2,10,6,9,3,8,1,3,1,0,10,7,5,5,4,9,8,5,1,1,5
18110026,0,0,0,1,1,1,6,7,0,6,9,7,10,9,0,0,8,10,4,7,4,2,6,1,10,0,7,4,10,0,6,10,7,9,2
18110027,1,1,1,0,1,5,4,0,7,2,10,0,6,3,3,6,2,5,7,3,5,4,7,0,8,2,8,8,6,8,9,5,1,8,10
18110028,1,1,0,0,0,5,2,0,0,3,3,7,5,4,9,4,4,1,3,3,7,0,1,3,10,2,9,2,4,2,7,4,1,8,4
18110029,1,0,1,1,1,1,10,6,9,10,6,8,9,10,0,5,6,10,7,6,8,3,6,3,9,9,3,7,8,4,9,10,1,0,8
18110030,1,1,0,1,1,4,3,3,4,10,3,1,8,5,3,7,5,3,4,2,7,10,0,9,6,2,1,0,5,1,2,3,0,1,9
18110031,1,1,0,1,1,4,6,5,8,6,10,7,0,9,5,2,2,2,6,1,1,10,4,4,5,8,2,3,9,3,2,8,1,5,7
18110032,0,1,0,0,1,2,4,0,7,7,6,3,1,3,7,3,9,10,0,7,10,2,10,10,9,3,5,2,4,4,8,10,7,9,5
18110033,1,0,0,1,1,6,4,3,0,10,0,0,10,2,10,8,8,7,0,7,4,4,8,4,7,2,0,1,6,7,2,10,1,2,9
18110034,1,0,0,0,0,2,1,7,0,8,9,10,5,1,10,10,4,8,7,10,0,7,2,0,10,9,5,9,0,1,1,3,9,3,8
18110035,0,0,0,0,0,4,4,7,6,10,8,8,6,2,2,0,3,1,5,2,2,9,5,1,6,10,1,0,5,10,8,4,2,8,0
18110036,0,0,0,0,0,6,9,7,10,5,5,6,5,6,3,0,10,10,0,10,8,5,2,0,3,3,2,0,6,2,9,9,1,5,5
18110037,1,0,0,0,1,10,0,10,4,0,4,7,8,4,6,10,7,2,1,3,3,5,4,9,3,5,2,0,4,3,3,9,9,0,7
18110038,0,0,1,1,1,5,8,8,0,9,8,5,1,10,1,3,5,3,10,5,4,4,0,1,10,9,8,2,9,6,1,6,2,4,0
18110039,0,1,0,1,0,3,10,4,0,8,6,6,8,6,1,3,6,1,5,1,3,6,3,3,3,8,8,4,8,4,7,0,10,1,5
18110040,1,1,0,1,0,1,5,8,2,1,10,4,10,4,5,2,5,4,5,9,8,5,9,6,0,6,6,4,1,8,0,9,3,10,0
